Date,Shell,Philips,Heineken,TomTom,Aegon,ING,Apple,Micro,SP500,AEX
2010-01-04,21.58,21.5,33.81,6.6,4.809,7.27,7.64,30.95,1132.99,343.03
2010-01-05,21.73,21.45,33.1,6.92,4.798,7.41,7.66,30.96,1136.52,342.02
2010-01-06,21.57,21.12,33.37,6.9,4.781,7.42,7.53,30.77,1137.14,341.48
2010-01-07,21.5,21.0,32.9,7.03,4.878,7.6,7.52,30.45,1141.69,340.55
2010-01-08,21.38,21.03,32.92,7.06,5.029,7.77,7.57,30.66,1144.98,341.94
2010-01-11,21.45,21.23,34.0,7.0,4.951,7.58,7.5,30.27,1146.98,340.52
2010-01-12,21.17,20.86,34.19,7.08,4.949,7.45,7.42,30.07,1136.22,336.77
2010-01-13,21.02,21.06,34.52,7.1,4.916,7.51,7.52,30.35,1145.68,338.18
2010-01-14,21.0,21.35,35.15,6.98,4.928,7.57,7.48,30.96,1148.46,340.61
2010-01-15,20.95,21.17,36.09,6.95,4.825,7.38,7.35,30.86,1136.03,337.99
2010-01-18,21.09,21.48,36.03,6.75,4.807,7.48,,,,339.03
2010-01-19,21.39,21.14,35.91,6.64,4.812,7.4,7.68,31.1,1150.23,341.61
2010-01-20,21.29,20.7,35.6,6.6,4.64,7.08,7.56,30.59,1138.04,336.3
2010-01-21,21.02,20.75,35.3,5.9,4.409,6.9,7.43,30.01,1116.48,332.17
2010-01-22,20.67,20.34,35.78,6.0,4.417,6.87,7.06,28.96,1091.76,329.48
2010-01-25,20.57,21.36,35.13,5.85,4.376,6.84,7.25,29.32,1096.78,328.51
2010-01-26,20.7,22.03,34.91,6.0,4.408,6.81,7.35,29.5,1092.17,329.65
2010-01-27,20.46,22.32,35.06,6.0,4.352,6.72,7.42,29.67,1097.5,327.26
2010-01-28,20.09,21.8,35.3,5.78,4.3,6.64,7.12,29.16,1084.53,323.95
2010-01-29,20.2,21.9,35.67,5.9,4.386,6.86,6.86,28.18,1073.87,327.9
2010-02-01,20.27,22.26,35.9,6.03,4.512,7.09,6.95,28.41,1089.19,331.31
2010-02-02,20.45,22.25,35.91,6.05,4.625,7.26,6.99,28.46,1103.32,334.04
2010-02-03,20.39,22.3,35.51,5.94,4.6,7.28,7.12,28.63,1097.28,333.03
2010-02-04,19.95,21.59,34.9,5.5,4.365,6.66,6.86,27.84,1063.11,323.23
2010-02-05,19.77,20.98,34.0,5.3,4.137,6.27,6.98,28.02,1066.19,315.04
2010-02-08,20.0,21.08,34.28,5.25,4.139,6.14,6.93,27.72,1056.74,316.5
2010-02-09,19.95,21.05,34.16,5.31,4.257,6.33,7.01,28.01,1070.52,317.06
2010-02-10,19.64,21.16,34.37,5.44,4.385,6.53,6.97,27.99,1068.13,316.1
2010-02-11,20.09,21.33,34.8,5.35,4.344,6.35,7.1,28.12,1078.47,316.8
2010-02-12,19.9,21.22,34.49,5.22,4.319,6.32,7.16,27.93,1075.51,315.74
2010-02-15,19.95,20.98,34.24,5.23,4.358,6.45,,,,315.86
2010-02-16,20.18,21.09,34.4,5.22,4.403,6.45,7.26,28.35,1094.87,318.84
2010-02-17,20.3,21.88,34.77,5.43,4.48,6.81,7.23,28.59,1099.51,323.13
2010-02-18,20.44,22.22,35.05,5.73,4.501,6.89,7.25,28.97,1106.75,324.3
2010-02-19,20.49,22.07,35.13,5.55,4.462,6.84,7.2,28.77,1109.17,325.6
2010-02-22,20.4,22.3,35.03,5.71,4.451,6.92,7.16,28.73,1108.01,325.12
2010-02-23,20.25,21.77,36.12,5.9,4.362,6.6,7.04,28.33,1094.6,320.99
2010-02-24,20.35,21.7,35.78,6.02,4.401,6.76,7.17,28.63,1105.24,320.92
2010-02-25,19.92,21.29,35.55,5.69,4.426,6.36,7.21,28.6,1102.94,314.85
2010-02-26,20.02,21.47,36.07,5.74,4.63,6.57,7.31,28.67,1104.49,317.74
2010-03-01,20.43,22.26,37.06,5.78,4.717,6.95,7.46,29.02,1115.71,324.37
2010-03-02,20.56,22.41,37.41,5.8,4.799,6.94,7.46,28.46,1118.31,328.24
2010-03-03,20.66,22.65,37.51,5.86,4.768,7.1,7.48,28.46,1118.79,331.86
2010-03-04,20.69,22.45,37.73,5.73,4.71,7.14,7.53,28.63,1122.97,332.45
2010-03-05,20.89,23.34,38.03,5.79,4.89,7.43,7.82,28.59,1138.7,338.68
2010-03-08,20.91,23.2,38.01,5.84,4.801,7.3,7.82,28.63,1138.5,338.17
2010-03-09,21.0,23.3,38.15,5.77,4.841,7.31,7.96,28.8,1140.45,339.09
2010-03-10,21.19,23.98,37.94,6.03,4.918,7.37,8.03,28.97,1145.61,340.97
2010-03-11,21.2,23.75,37.85,6.42,4.895,7.36,8.05,29.18,1150.24,339.02
2010-03-12,21.23,24.14,37.89,6.39,4.904,7.32,8.09,29.27,1149.99,339.57
2010-03-15,21.07,23.8,37.64,6.22,4.776,7.13,7.99,29.29,1150.51,335.11
2010-03-16,21.43,23.99,37.91,6.27,4.85,7.29,8.02,29.37,1159.46,339.26
2010-03-17,21.87,24.39,38.23,6.27,4.92,7.46,8.0,29.63,1166.21,343.06
2010-03-18,21.89,24.31,38.06,6.2,4.843,7.35,8.02,29.61,1165.83,341.95
2010-03-19,21.59,24.35,37.99,6.12,4.82,7.21,7.94,29.59,1159.9,338.65
2010-03-22,21.53,24.3,38.44,6.12,4.815,7.13,8.03,29.6,1165.81,338.13
2010-03-23,21.62,24.61,38.55,6.11,4.979,7.29,8.16,29.88,1174.17,341.51
2010-03-24,21.65,24.57,38.37,6.13,4.964,7.26,8.19,29.65,1167.72,341.74
2010-03-25,21.55,25.28,38.55,6.41,5.033,7.44,8.09,30.01,1165.73,345.61
2010-03-26,21.41,24.86,38.34,6.41,5.072,7.41,8.25,29.66,1166.59,343.81
2010-03-29,21.32,23.99,37.95,6.4,5.099,7.42,8.3,29.59,1173.22,343.96
2010-03-30,21.42,23.73,38.06,6.32,5.058,7.37,8.42,29.77,1173.27,343.6
2010-03-31,21.41,23.74,38.05,6.26,5.07,7.39,8.39,29.29,1169.43,344.22
2010-04-01,21.75,24.21,37.98,6.27,5.15,7.73,8.43,29.16,1178.1,351.44
2010-04-05,,,,,,,8.52,29.27,1187.44,
2010-04-06,22.18,24.48,38.09,6.28,5.25,7.88,8.55,29.32,1189.44,355.61
2010-04-07,22.08,24.35,38.05,6.19,5.271,7.67,8.59,29.35,1182.45,353.89
2010-04-08,22.05,24.1,37.73,6.15,5.208,7.49,8.57,29.92,1186.44,350.89
2010-04-09,22.43,24.53,37.9,6.19,5.308,7.61,8.64,30.34,1194.37,355.89
2010-04-12,22.37,24.68,37.77,6.26,5.35,7.59,8.65,30.32,1196.48,355.34
2010-04-13,22.29,24.67,36.89,6.3,5.273,7.64,8.66,30.45,1197.3,354.43
2010-04-14,22.61,24.73,37.11,6.32,5.368,7.74,8.77,30.82,1210.65,356.67
2010-04-15,22.75,24.58,36.8,6.31,5.41,7.8,8.89,30.87,1211.67,355.57
2010-04-16,22.5,24.09,36.68,6.25,5.363,7.51,8.84,30.67,1192.13,349.75
